id,text,label
1,Portugal [3] - 0 Uzbekistan - Cristiano Ronaldo 39',reaction
2,"Australian World Cup fans were caught chanting: ""Aussie boys are on a bender, Donald Trump is a sex offender.""",reaction
3,Portugal [2] - 0 Uzbekistan - Nuno Mendes 17',reaction
4,[ESPN FC] The longest time EVER between a player's first and latest World Cup goal: Ronaldo: 20 years and 11 days; Messi: 20 years and 11 days.,analysis
5,A duck in Mexico wearing a Mexican jersey,reaction
6,French NT making a young mascot's day,reaction
7,Argentina [3] - 0 Algeria - Lionel Messi 76' hat-trick,reaction
8,[The Times] Fifa wants to change the rules on penalty shoot-outs before the knockout rounds start at this World Cup so that a team either choose to take the first spot kick or to do it in front of their own fans,hot_take
9,A high angle view of the Norway fan Viking row during their match against Senegal,reaction
10,Iceland's Daniel Gudjohnsen introducing himself to Lionel Messi post-match and reminding him that his dad was Messi's former Barcelona teammate,reaction
11,"Cristiano Ronaldo becomes Portugal's all-time leading goalscorer in FIFA World Cup history, scoring his 10th World Cup goal (24 games) surpassing Eus??bio's record of 9 (6 games).",analysis
12,Norway players and fans doing Viking Row,reaction
13,"Cristiano Ronaldo becomes the first player to score a goal in six different FIFA World Cup editions (2006, 2010, 2014, 2018, 2022 & 2026).",analysis
14,Uzbekistan disallowed goal against Portugal 30',reaction
15,Banner seen at USA vs Australia,reaction
16,"Jordan left traditional sweets, a thank-you note and the facility spotless after their game against Algeria. Despite losing a heartbreaker, they're making sure to leave an impact in their first-ever World Cup (via @fifa)",reaction
17,USA [1] - 1 Germany - Antonee Robinson great goal 37',reaction
18,"[Sky Sports] Real Madrid will activate their buy-back clause for Nico Paz at É?™10M in the next few days. After that, the club values him at É?™60M.",reaction
19,Thierry Henry and Zlatan having a kick about backstage in the studio,reaction
20,"Telemundo TV commentator: ""We are one of the only networks in the world to not show ads during the World Cup cooling breaks. We prefer the old school way. We should be able to see what the players do. We show fans, people enjoying, not the corporate direction of football.""",hot_take
21,Arabic commentary of Ronaldo's first goal in this world cup (with subtitles),reaction
22,Cristiano Ronaldo chance against Uzbekistan 45+6',reaction
23,Marquinhos comforts his international teammate Gabriel after his penalty miss,reaction
24,"Thierry Henry in his post-match analysis about Ronaldo after Portugal's game vs DR Congo: ""The team needs to score, not you need to score""",hot_take
25,Kansas City honors Lionel Messi after World Cup hat trick,reaction
26,[diarioas] Enzo Fern?≠ndez is the chosen one for the midfield. Real Madrid has decided in recent hours to pursue the Argentine.,reaction
27,Glasners slide after Conference League victory,reaction
28,"22 years and 183 days: Cristiano Ronaldo and Bekhrouz Karimov broke the World Cup record for biggest age difference between 2 rival players. Roger Milla and Beschastnykh (21y, 321d) were holding this record since 1994.",analysis
29,[WC2026 Day 12] All Goals with Scoring Nation Commentary,reaction
30,[Metropoles] Cucurella's wife reports death threat after the player goes to Real Madrid.,reaction
31,[Official] Spain 0-0 Cabo Verde is the first goalless draw of FIFA World Cup 2026,analysis
32,Referee awards Arsenal a corner kick in stoppage time but then blows the whistle for halftime after Arsenal takes too long to take it,reaction
33,"[Fabrizio Romano] Endrick: ""Ancelotti won't do what's best for Endrick, he won't do what's best for the fans... he'll do what's best for Real Madrid""",hot_take
34,Messi's touch in slow motion for his second goal,reaction
35,Australia [1] - 0 Turkiye - Nystrom Irankunda 27',reaction
36,"Brazilian fans chanted ""Hey Trump Go Fuck Yourself"" during the American anthem in yesterday's match between Brazil vs USA",reaction
37,"[BBC] With the 2-1 loss to Algeria, Jordan are officially eliminated from the World Cup",analysis
38,Portugal [4] - 0 Uzbekistan - Abdukodir Khusanov (own goal) 60',reaction
39,"Turkey have been knocked out of the World Cup following their loss to Paraguay. They still have one match left against the USA, but their qualification hopes are officially gone.",analysis
40,Abduvakhid Nematov save against Portugal 57',reaction
41,As requested the full clip of Iraqi and French NT making a mascot's day,reaction
42,21-year-old Kenzo Kies has been identified as the Ligue 2 player who suffered brain death.,reaction
43,Scenes as FC Arsenal lift Premier League trophy,reaction
44,"[BBC] following the 3-2 win over Senegal, Norway confirm their place in the knockouts for the first time since 1998",analysis
45,[ESPN FC] DR Congo has earned their first-ever World Cup point with their draw vs. Portugal,analysis
46,A Ligue 2 player had an accident when swimming in the Rh??ne and is brain dead,reaction
47,Every World Cup Goal so far,reaction
48,Cape Verde players reactions after securing their first ever World Cup point against Spain,reaction
49,"Zlatan Ibrahimovié? on Messi's World Cup: ""Five goals in 2 games...I have zero goals in two World Cups, so I'm happy for him and I hope he continues, his birthday is in a couple of days so let him enjoy, because we're all enjoying him by seeing him play so, amazing, just amazing""",reaction
50,Boston police officer showing off his skill,reaction
51,[FIFA] Teams qualified for FIFAWC RO32,analysis
52,Egypt's Mo Salah singing and dancing in the streets of Vancouver with fans and fellow teammates.,reaction
53,Norway [3] - 1 Senegal - E. Haaland 58',reaction
54,"Australian midfielder Jackson Irvine on new red card rule for covering your mouth: ""If you're saying something to someone that you don't want to be seen, I think it's safe to say it shouldn't be said.""",hot_take
55,Argentina [2] - 0 Austria - Lionel Messi 90+4',reaction
56,Refcam angle of Lionel Messi's goal against Algeria,reaction
