id,text,label
1,Portugal [3] - 0 Uzbekistan - Cristiano Ronaldo 39',
2,"Australian World Cup fans were caught chanting: ""Aussie boys are on a bender, Donald Trump is a sex offender.""",
3,Portugal [2] - 0 Uzbekistan - Nuno Mendes 17',
4,[ESPN FC] The longest time EVER between a player's first and latest World Cup goal: Ronaldo: 20 years and 11 days; Messi: 20 years and 11 days.,
5,A duck in Mexico wearing a Mexican jersey,
6,French NT making a young mascot's day,
7,Argentina [3] - 0 Algeria - Lionel Messi 76' hat-trick,
8,[The Times] Fifa wants to change the rules on penalty shoot-outs before the knockout rounds start at this World Cup so that a team either choose to take the first spot kick or to do it in front of their own fans,
9,A high angle view of the Norway fan Viking row during their match against Senegal,
10,Iceland's Daniel Gudjohnsen introducing himself to Lionel Messi post-match and reminding him that his dad was Messi's former Barcelona teammate,
11,"Cristiano Ronaldo becomes Portugal's all-time leading goalscorer in FIFA World Cup history, scoring his 10th World Cup goal (24 games) surpassing Eusébio's record of 9 (6 games).",
12,Norway players and fans doing Viking Row,
13,"Cristiano Ronaldo becomes the first player to score a goal in six different FIFA World Cup editions (2006, 2010, 2014, 2018, 2022 & 2026).",
14,Uzbekistan disallowed goal against Portugal 30',
15,Banner seen at USA vs Australia,
16,"Jordan left traditional sweets, a thank-you note and the facility spotless after their game against Algeria. Despite losing a heartbreaker, they're making sure to leave an impact in their first-ever World Cup (via @fifa)",
17,USA [1] - 1 Germany - Antonee Robinson great goal 37',
18,"[Sky Sports] Real Madrid will activate their buy-back clause for Nico Paz at €10M in the next few days. After that, the club values him at €60M.",
19,Thierry Henry and Zlatan having a kick about backstage in the studio,
20,"Telemundo TV commentator: ""We are one of the only networks in the world to not show ads during the World Cup cooling breaks. We prefer the old school way. We should be able to see what the players do. We show fans, people enjoying, not the corporate direction of football.""",
21,Arabic commentary of Ronaldo's first goal in this world cup (with subtitles),
22,Cristiano Ronaldo chance against Uzbekistan 45+6',
